unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230306,2023-03-06T14:51:40,  0.000,  0.111,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:40,  0.111,  0.111,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:40,  0.216,  0.105,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  0.316,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  0.416,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  0.516,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  0.616,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  0.716,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  0.816,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  0.916,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  1.015,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  1.116,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:41,  1.215,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  1.316,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  1.416,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  1.516,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  1.616,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  1.716,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  1.815,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  1.916,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  2.015,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  2.116,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:42,  2.216,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  2.316,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  2.416,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  2.515,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  2.615,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  2.715,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  2.816,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  2.916,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  3.015,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  3.116,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  3.215,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:43,  3.315,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  3.416,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  3.516,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  3.616,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  3.716,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  3.816,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  3.916,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  4.015,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  4.116,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  4.216,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:44,  4.315,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  4.416,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  4.515,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  4.615,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  4.716,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  4.815,  0.099,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  4.915,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  5.016,  0.101,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  5.116,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  5.216,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:45,  5.315,  0.099,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  5.415,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  5.516,  0.101,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  5.616,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  5.716,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  5.816,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  5.916,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  6.016,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  6.188,  0.172,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:46,  6.288,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  6.388,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  6.488,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  6.588,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  6.688,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  6.788,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  6.888,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  6.988,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  7.088,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  7.188,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:47,  7.288,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  7.389,  0.101,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  7.489,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  7.589,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  7.689,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  7.789,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  7.889,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  7.989,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  8.089,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  8.189,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:48,  8.289,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  8.389,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  8.489,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  8.589,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  8.689,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  8.789,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  8.900,  0.111,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  8.989,  0.089,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  9.089,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  9.189,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:49,  9.289,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50,  9.389,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50,  9.489,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50,  9.589,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50,  9.689,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50,  9.789,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50,  9.889,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50,  9.989,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50, 10.089,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50, 10.189,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:50, 10.289,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 10.389,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 10.489,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 10.589,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 10.689,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 10.789,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 10.889,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 10.989,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 11.089,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 11.189,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:51, 11.289,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 11.389,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 11.489,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 11.589,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 11.689,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 11.789,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 11.889,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 11.989,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 12.089,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 12.189,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:52, 12.289,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 12.389,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 12.489,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 12.589,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 12.689,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 12.789,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 12.889,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 12.989,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 13.089,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 13.189,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:53, 13.289,  0.100,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T14:51:54, 13.390,  0.101,0,0,247, 25.000, 13.730,  0.000,  0.000, 13.080, 13.850,  0.000, 13.730, 13.080,  0.650,  0.500,  0.500,  0.500,
